share_in_largest_section,sections,chunks_in_largest,largest_chars,total_chars,largest_section_title,genre,book
0.0764,21,71,29601,387402,Chapter XVIII,english-literature,A Room with a View (Forster)
0.0763,46,156,64872,850154,III,english-literature,Tess of the d'Urbervilles (Hardy)
0.0756,37,149,62560,827406,CHAPTER V.,travel,"Travels in the interior districts of Africa: performed under the direction and patronage of the African Association, in the years 1795, 1796, and 1797"
0.0753,52,43,17823,236765,STONE-SWALLOWING,curiosities,Miracle Mongers and Their Methods
0.0730,31,51,20932,286737,THE FINDING OF THE MANUSCRIPT,horror,The House on the Borderland
0.0724,21,106,44880,619478,CHAPTER IV. FIRST WEEKS ON THE ISLAND,english-literature,Robinson Crusoe
0.0724,117,183,80783,1115243,SURA II.-THE COW1 [XCI.],sacred-texts,The Quran (Rodwell translation)
0.0723,76,628,293916,4064063,CHAPTER LIII CONCLUSION,philosophy,The origin and development of the moral ideas
0.0706,23,201,84065,1191019,CHAPTER XVI NORTHERN CHILE AND PERU,natural-history,The Voyage of the Beagle — Charles Darwin
0.0691,57,118,48414,700654,CHAPTER XLIII. THE LAST CONTEST.,science-fiction,"Etidorhpa; or, The End of Earth."
0.0690,30,44,19254,278936,CHAPTER XX. AT THE HOUSE IN GREAT PORTLAND STREET,science-fiction,The Invisible Man
0.0689,28,107,45887,665531,CHAPTER XIX,english-literature,The Portrait of a Lady — Volume 1
0.0662,25,61,27119,409649,CHAPTER VI THE LOVE-MASTER,american-literature,White Fang (London)
0.0660,62,163,70771,1072663,BOOK ELEVENTH. CHAPTER I. THE LITTLE SHOE.,french-literature,The Hunchback of Notre-Dame (Hugo)
0.0658,27,195,77661,1179619,CHAPTER XVI,ancient-classical,History of the Peloponnesian War (Thucydides)
0.0620,38,79,32349,521880,CHAPTER V. DR. CORTLANDT'S HISTORY CONTINUED.,science-fiction,A Journey in Other Worlds: A Romance of the Future
0.0602,36,95,39256,651827,PREFACE,travel,Typee: A Peep at Polynesian Life — Herman Melville
0.0596,24,62,27135,455251,CHAPTER XIV THE EYES IN THE DARK,science-fiction,The Gods of Mars
0.0590,63,72,30531,517811,THE SALAD,english-literature,Grimms Fairy Tales
0.0586,41,138,60882,1038376,CHAPTER XXVII,english-literature,Jane Eyre
0.0586,35,89,38561,657875,CHAPTER XVII,english-literature,Wuthering Heights
0.0568,32,111,46151,813026,CHAPTER I,american-literature,The Jungle (Sinclair)
0.0558,31,49,20610,369316,CHAPTER XVI WE PLAN ESCAPE,science-fiction,A Princess of Mars
0.0543,35,76,32066,590032,XXXIV.,american-literature,The Age of Innocence (Wharton)
0.0542,47,424,175846,3242863,CHAPTER IV,russian-literature,War and Peace
0.0540,28,80,34442,638064,CHAPTER LI,english-literature,The Portrait of a Lady — Volume 2
0.0536,138,239,121460,2265266,SONNET,spanish,Don Quixote
0.0519,43,30,12913,248698,LETTER LII,letters,Letters to His Son — Lord Chesterfield
0.0504,282,106,44780,888977,TUBE CHECKER,audel-electric,Audels Electric Library Vol 9
0.0501,53,40,16426,328090,"CHAPTER II. OF THE WAYS OF EXCITING DESIRE, AND MISCELLANEOUS EXPERIMENTS, AND RECIPES.",philosophy,The Kama Sutra of Vatsyayana
0.0496,41,68,29220,589696,CHAPTER XVII,american-literature,The Sea-Wolf (London)
0.0480,72,123,58007,1208422,CHAPTER XLIV. OF SPIRITUALL DARKNESSE FROM MISINTERPRETATION OF SCRIPTURE,philosophy,Leviathan
0.0474,45,68,30068,634101,Chapter 26,english-literature,Howards End
0.0466,449,56,26949,578057,Ques. In wiring a dynamo what are the considerations,audel-electric,Audels Electric Library Vol 2
0.0465,32,92,39970,859302,CHAPTER XXVII MINA HARKER’S JOURNAL,english-literature,Dracula
0.0463,62,74,36082,779553,CHAPTER VIII THE MALTHOUSE—THE CHAT—NEWS,english-literature,Far from the Madding Crowd (Hardy)
0.0454,68,480,191458,4220506,POMPEY,ancient-classical,Parallel Lives (Plutarch)
0.0454,49,64,27501,606348,CHAPTER X THE MAN OF THE SEAS,french-literature,Twenty Thousand Leagues Under the Sea
0.0451,51,72,30744,681177,CHAPTER XLIV.,english-literature,Sense and Sensibility
0.0451,46,111,45849,1016799,VOLUME II CHAPTER XIX,american-literature,Uncle Toms Cabin
0.0437,46,72,28538,653398,XXXVII.,english-literature,The Mayor of Casterbridge (Hardy)
0.0425,46,56,24550,578026,CHAPTER XVIII.,american-literature,Adventures of Huckleberry Finn
0.0417,39,37,15396,368978,CHAPTER XI. IN WHICH PHILEAS FOGG SECURES A CURIOUS MEANS OF CONVEYANCE AT A FABULOUS PRICE,french-literature,Around the World in Eighty Days (Verne)
0.0413,35,203,82420,1996477,Chapter 14,russian-literature,Anna Karenina
0.0412,53,102,41705,1012436,CHAPTER XLVI. ONCE AND NOW.,english-literature,North and South (Gaskell)
0.0411,169,12,5210,126721,XXIV,ancient-classical,"The Golden Sayings of Epictetus, with the Hymn of Cleanthes"
0.0408,40,102,42242,1034157,THE EDUCATION OF HENRY ADAMS CHAPTER I,biography,The Education of Henry Adams
0.0408,64,71,30135,739391,CHAPTER XVIII.,english-literature,Pride and Prejudice
0.0403,150,104,49330,1223322,CHAPTER 135. The Chase.—Third Day.,american-literature,Moby Dick
0.0402,55,51,22015,548125,CHAPTER II. THE FIRST HALF-HOUR,french-literature,From the Earth to the Moon (Verne)
0.0377,361,46,23976,635249,HS HID,audel-electric,Audels Electric Library Vol 1
0.0342,316,75,34199,998886,CANDLE POWER,audel-electric,Audels Electric Library Vol 10
0.0338,48,35,14352,424777,CHAPTER VI. EXCITING DISCUSSIONS ABOUT AN UNPARALLELED ENTERPRISE,french-literature,Journey to the Center of the Earth (Verne)
0.0334,67,84,36873,1104669,CHAPTER XXVI.,travel,The Innocents Abroad — Mark Twain
0.0331,109,81,33583,1015035,VIII,biography,Autobiography of Benvenuto Cellini
0.0326,39,48,19784,606292,CANTO XXIV,world-literature,The Divine Comedy (Cary)
0.0307,60,74,30931,1008052,Chapter XIX.,english-literature,Great Expectations
0.0303,70,94,39670,1311111,Chapter VI.,french-literature,The Three Musketeers
0.0273,66,129,53756,1972601,CHAPTER 52. I ASSIST AT AN EXPLOSION,english-literature,David Copperfield (Dickens)
0.0270,71,111,47039,1744139,CHAPTER XXV,english-literature,Vanity Fair (Thackeray)
0.0265,87,112,47987,1811288,CHAPTER XXXVII.,english-literature,Middlemarch
0.0249,69,116,49463,1988033,CHAPTER LIV,english-literature,Bleak House (Dickens)
0.0249,454,67,28202,1134451,Ques. Describe a double worm gear.,audel-electric,Audels Electric Library Vol 8
0.0248,367,38,17166,693521,RRRAR YS,audel-electric,Audels Electric Library Vol 3
0.0238,118,126,62700,2637386,Chapter 33. Roman Bandits,french-literature,The Count of Monte Cristo
0.0191,415,29,12302,643506,PBR HT SER RIBS OR ES,audel-electric,Audels Electric Library Vol 4
0.0164,371,127,53874,3280255,CHAPTER XX—THE TRAP,french-literature,Les Miserables
